pref_name,target_chembl_id,target_type
DNA polymerase beta,CHEMBL2392,SINGLE PROTEIN
cAMP-dependent protein kinase catalytic subunit beta,CHEMBL2918,SINGLE PROTEIN
Kallikrein-12,CHEMBL4943,SINGLE PROTEIN
5-hydroxytryptamine receptor 7,CHEMBL3155,SINGLE PROTEIN
Coagulation factor VIII,CHEMBL3143,SINGLE PROTEIN
Protein kinase C zeta type,CHEMBL3438,SINGLE PROTEIN
Proprotein convertase subtilisin/kexin type 4,CHEMBL4861,SINGLE PROTEIN
Xaa-Pro aminopeptidase 1,CHEMBL3782,SINGLE PROTEIN
Choline O-acetyltransferase,CHEMBL4039,SINGLE PROTEIN
Matrix metalloproteinase-26,CHEMBL4707,SINGLE PROTEIN
Gamma-aminobutyric acid type B receptor subunit 1,CHEMBL2064,SINGLE PROTEIN
Dual specificity mitogen-activated protein kinase kinase 6,CHEMBL2171,SINGLE PROTEIN
Caspase-8,CHEMBL3776,SINGLE PROTEIN
"Myosin light chain kinase, smooth muscle",CHEMBL2428,SINGLE PROTEIN
Peptidyl-prolyl cis-trans isomerase FKBP1B,CHEMBL2430,SINGLE PROTEIN
Tyrosine-protein phosphatase non-receptor type 2,CHEMBL3807,SINGLE PROTEIN
Transient receptor potential cation channel subfamily V member 1,CHEMBL4794,SINGLE PROTEIN
Casein kinase I isoform gamma-1,CHEMBL2426,SINGLE PROTEIN
Fibroblast growth factor receptor 2,CHEMBL4142,SINGLE PROTEIN
Fibroblast growth factor receptor 1,CHEMBL3650,SINGLE PROTEIN
5'-AMP-activated protein kinase subunit beta-1,CHEMBL3847,SINGLE PROTEIN
Serine/threonine-protein kinase 3,CHEMBL4708,SINGLE PROTEIN
Lactoylglutathione lyase,CHEMBL2424,SINGLE PROTEIN
Indolethylamine N-methyltransferase,CHEMBL2131,SINGLE PROTEIN
Histamine H3 receptor,CHEMBL264,SINGLE PROTEIN
Presenilin-2,CHEMBL3708,SINGLE PROTEIN
Cytochrome b-c1 complex subunit 9,CHEMBL2388,SINGLE PROTEIN
Methionine aminopeptidase 1,CHEMBL2474,SINGLE PROTEIN
Carboxypeptidase B2,CHEMBL3419,SINGLE PROTEIN
Prostaglandin E2 receptor EP3 subtype,CHEMBL3710,SINGLE PROTEIN
Acetyl-CoA carboxylase 1,CHEMBL3351,SINGLE PROTEIN
Lysosomal Pro-X carboxypeptidase,CHEMBL2335,SINGLE PROTEIN
M-phase inducer phosphatase 1,CHEMBL3775,SINGLE PROTEIN
Peroxisomal N(1)-acetyl-spermine/spermidine oxidase,CHEMBL2105,SINGLE PROTEIN
5'-AMP-activated protein kinase subunit gamma-1,CHEMBL2393,SINGLE PROTEIN
Thioredoxin reductase 3,CHEMBL3793,SINGLE PROTEIN
Putative inactive group IIC secretory phospholipase A2,CHEMBL2097,SINGLE PROTEIN
Mucosal addressin cell adhesion molecule 1,CHEMBL4467,SINGLE PROTEIN
RISC-loading complex subunit TARBP2,CHEMBL2098,SINGLE PROTEIN
Casein kinase I isoform delta,CHEMBL2828,SINGLE PROTEIN
"Hydroxyacid-oxoacid transhydrogenase, mitochondrial",CHEMBL4947,SINGLE PROTEIN
Dual specificity mitogen-activated protein kinase kinase 5,CHEMBL4948,SINGLE PROTEIN
Glutathione S-transferase A1,CHEMBL3409,SINGLE PROTEIN
Prostate-specific antigen,CHEMBL2099,SINGLE PROTEIN
Maleylacetoacetate isomerase,CHEMBL4949,SINGLE PROTEIN
Glutathione S-transferase Mu 4,CHEMBL2100,SINGLE PROTEIN
Cathepsin B,CHEMBL4072,SINGLE PROTEIN
Small conductance calcium-activated potassium channel protein 2,CHEMBL4469,SINGLE PROTEIN
Calcium/calmodulin-dependent protein kinase type II subunit beta,CHEMBL4121,SINGLE PROTEIN
Potassium voltage-gated channel subfamily KQT member 2,CHEMBL2476,SINGLE PROTEIN
P2X purinoceptor 4,CHEMBL2104,SINGLE PROTEIN
P2X purinoceptor 7,CHEMBL4805,SINGLE PROTEIN
Protein phosphatase 1B,CHEMBL2845,SINGLE PROTEIN
