molecule_chembl_id,std_smiles,standard_type,IC50_nM,n_mediciones,pActividad,activo,MW,LogP,HBD,HBA,TPSA,RotBonds,QED,lipinski_ok,es_pains,razon_pains
CHEMBL258015,CO/N=C(\C)c1ccc2c(c1)c1c3c(c4c(c1n2CC(C)C)CCc1nn(C)cc1-4)C(=O)NC3,IC50,1000.0,1,5.999999999999999,0,455.56,4.56,1,4,73.44,4,0.362,True,True,dyes5A(27)
CHEMBL255291,CO/N=C/c1c(N)ncnc1NCc1ccc(F)c(Cl)c1,IC50,1123.0,1,5.949620243738542,0,309.73,2.44,2,6,85.42,5,0.654,True,False,
CHEMBL255490,CO/N=C/c1c(N)ncnc1Nc1ccc(F)c(Cl)c1,IC50,70.0,1,7.154901959985742,1,295.71,2.58,2,6,85.42,4,0.669,True,False,
CHEMBL256529,CO/N=C/c1c(N)ncnc1Nc1ccc(OCc2cc(F)cc(F)c2)c(Cl)c1,IC50,33.0,1,7.481486060122112,1,419.82,4.29,2,7,94.65,7,0.438,True,False,
CHEMBL256297,CO/N=C/c1c(N)ncnc1Nc1ccc(OCc2cccc(F)c2)c(Cl)c1,IC50,12.0,1,7.920818753952375,1,401.83,4.15,2,7,94.65,7,0.456,True,False,
CHEMBL257815,CO/N=C/c1c(N)ncnc1Nc1ccc(OCc2ccccc2)c(Cl)c1,IC50,16.0,1,7.795880017344074,1,383.84,4.02,2,7,94.65,7,0.472,True,False,
CHEMBL402316,CO/N=C/c1c(N)ncnc1Nc1ccc2[nH]c(Cc3cccc(F)c3)nc2c1,IC50,48.0,1,7.318758762624412,1,391.41,3.39,3,7,114.1,6,0.343,True,False,
CHEMBL255866,CO/N=C/c1c(N)ncnc1Nc1ccc2[nH]ncc2c1,IC50,306.0,1,6.514278573518419,1,283.3,1.66,3,7,114.1,4,0.495,True,False,
CHEMBL257814,CO/N=C/c1c(N)ncnc1Nc1ccc2c(c1)CCN2Cc1cccc(F)c1,IC50,57.0,1,7.244125144327508,1,392.44,3.48,2,7,88.66,6,0.493,True,True,anil_di_alk_A(478)
CHEMBL257816,CO/N=C/c1c(N)ncnc1Nc1ccc2c(ccn2Cc2cccc(F)c2)c1,IC50,13.0,1,7.886056647693162,1,390.42,3.92,2,6,90.35,6,0.385,True,False,
CHEMBL256527,CO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2ccc(F)cc2)c1,IC50,104.0,1,6.982966660701219,1,391.41,3.32,2,7,103.24,6,0.386,True,False,
CHEMBL255865,CO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(C#N)c2)c1,IC50,20.0,1,7.698970004336018,1,398.43,3.05,2,8,127.03,6,0.377,True,False,
CHEMBL255656,CO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(Cl)c2)c1,IC50,23.0,1,7.638272163982406,1,407.87,3.83,2,7,103.24,6,0.372,True,False,
CHEMBL255871,CO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(F)c2)c1,IC50,8.0,1,8.096910013008056,1,391.41,3.32,2,7,103.24,6,0.386,True,False,
CHEMBL403357,CO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(OC)c2)c1,IC50,267.0,1,6.573488738635424,1,403.45,3.19,2,8,112.47,7,0.36,True,False,
CHEMBL402113,CO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2ccccc2)c1,IC50,44.0,1,7.356547323513812,1,373.42,3.18,2,7,103.24,6,0.397,True,False,
