canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value
C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCCNC(=O)OC(C)(C)C)c3)ncc2F)c1,CHEMBL6000015,5.98,IC50,nM,1050.0,IC50,nM,1050.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCCNC(=O)OC(C)(C)C)c3)ncc2F)c1,CHEMBL6000015,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCCNC(=O)OC(C)(C)C)c3)ncc2F)c1,CHEMBL6000015,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(OCCN4CCCC4=O)c3)ncc2F)c1,CHEMBL5959718,,IC50,nM,100.0,IC50,nM,100.0
C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(OCCN4CCCC4=O)c3)ncc2F)c1,CHEMBL5959718,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(OCCN4CCCC4=O)c3)ncc2F)c1,CHEMBL5959718,,k_off,s-1,,koff,s-1,
C=C(C)C(=O)c1ccc(Nc2nc(Nc3ccccc3)ncc2F)cc1,CHEMBL5822838,6.26,IC50,nM,550.0,IC50,nM,550.0
C=C(C)C(=O)c1ccc(Nc2nc(Nc3ccccc3)ncc2F)cc1,CHEMBL5822838,,kon,,,kon,M-1-s-1,
C=C(C)C(=O)c1ccc(Nc2nc(Nc3ccccc3)ncc2F)cc1,CHEMBL5822838,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(OC)nc3)ncc2C)c1,CHEMBL5921026,,IC50,nM,100.0,IC50,nM,100.0
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(OC)nc3)ncc2C)c1,CHEMBL5921026,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(OC)nc3)ncc2C)c1,CHEMBL5921026,,k_off,s-1,,koff,s-1,
C=CC(=O)N1CC(Nc2nc(Nc3ccc(OC)nc3)ncc2C(C)=O)C1,CHEMBL5739768,,IC50,nM,1000.0,IC50,nM,1000.0
C=CC(=O)N1CC(Nc2nc(Nc3ccc(OC)nc3)ncc2C(C)=O)C1,CHEMBL5739768,,kon,,,kon,M-1-s-1,
C=CC(=O)N1CC(Nc2nc(Nc3ccc(OC)nc3)ncc2C(C)=O)C1,CHEMBL5739768,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(OC)nc3)ncc2C(C)=O)c1,CHEMBL6044241,,IC50,nM,100.0,IC50,nM,100.0
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(OC)nc3)ncc2C(C)=O)c1,CHEMBL6044241,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(OC)nc3)ncc2C(C)=O)c1,CHEMBL6044241,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)nc3)ncc2C(C)=O)c1,CHEMBL5858571,6.26,IC50,nM,550.0,IC50,nM,550.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)nc3)ncc2C(C)=O)c1,CHEMBL5858571,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)nc3)ncc2C(C)=O)c1,CHEMBL5858571,,k_off,s-1,,koff,s-1,
C=CC(=O)N1CCC[C@@H](Oc2nc(Nc3cccc(OC)c3)ncc2F)C1,CHEMBL5922445,,IC50,nM,1000.0,IC50,nM,1000.0
C=CC(=O)N1CCC[C@@H](Oc2nc(Nc3cccc(OC)c3)ncc2F)C1,CHEMBL5922445,,kon,,,kon,M-1-s-1,
C=CC(=O)N1CCC[C@@H](Oc2nc(Nc3cccc(OC)c3)ncc2F)C1,CHEMBL5922445,,k_off,s-1,,koff,s-1,
C=CC(=O)N1CCCC(Oc2nc(Nc3ccc(OC)nc3)ncc2F)C1,CHEMBL6033743,5.98,IC50,nM,1050.0,IC50,nM,1050.0
C=CC(=O)N1CCCC(Oc2nc(Nc3ccc(OC)nc3)ncc2F)C1,CHEMBL6033743,,kon,,,kon,M-1-s-1,
C=CC(=O)N1CCCC(Oc2nc(Nc3ccc(OC)nc3)ncc2F)C1,CHEMBL6033743,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)nc3)ncc2OC)c1,CHEMBL5946210,6.26,IC50,nM,550.0,IC50,nM,550.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)nc3)ncc2OC)c1,CHEMBL5946210,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)nc3)ncc2OC)c1,CHEMBL5946210,,k_off,s-1,,koff,s-1,
C=CC(=O)N1CCC[C@H](Oc2nc(Nc3ccc(OC)nc3)ncc2F)C1,CHEMBL6054383,5.98,IC50,nM,1050.0,IC50,nM,1050.0
C=CC(=O)N1CCC[C@H](Oc2nc(Nc3ccc(OC)nc3)ncc2F)C1,CHEMBL6054383,,kon,,,kon,M-1-s-1,
C=CC(=O)N1CCC[C@H](Oc2nc(Nc3ccc(OC)nc3)ncc2F)C1,CHEMBL6054383,,k_off,s-1,,koff,s-1,
C=CC(=O)N1CCOc2ccc(Nc3nc(Nc4ccc(OC)nc4)ncc3F)cc21,CHEMBL5913484,6.26,IC50,nM,550.0,IC50,nM,550.0
C=CC(=O)N1CCOc2ccc(Nc3nc(Nc4ccc(OC)nc4)ncc3F)cc21,CHEMBL5913484,,kon,,,kon,M-1-s-1,
C=CC(=O)N1CCOc2ccc(Nc3nc(Nc4ccc(OC)nc4)ncc3F)cc21,CHEMBL5913484,,k_off,s-1,,koff,s-1,
C=CC(=O)N1CCC[C@@H](Nc2nc(Nc3cccc(OC)c3)ncc2F)C1,CHEMBL6040634,6.26,IC50,nM,550.0,IC50,nM,550.0
C=CC(=O)N1CCC[C@@H](Nc2nc(Nc3cccc(OC)c3)ncc2F)C1,CHEMBL6040634,,kon,,,kon,M-1-s-1,
C=CC(=O)N1CCC[C@@H](Nc2nc(Nc3cccc(OC)c3)ncc2F)C1,CHEMBL6040634,,k_off,s-1,,koff,s-1,
C=CC(=O)N1CCC[C@H](Nc2nc(Nc3cccc(OC)c3)ncc2F)C1,CHEMBL5836438,5.98,IC50,nM,1050.0,IC50,nM,1050.0
C=CC(=O)N1CCC[C@H](Nc2nc(Nc3cccc(OC)c3)ncc2F)C1,CHEMBL5836438,,kon,,,kon,M-1-s-1,
C=CC(=O)N1CCC[C@H](Nc2nc(Nc3cccc(OC)c3)ncc2F)C1,CHEMBL5836438,,k_off,s-1,,koff,s-1,
C=CC(=O)N1CCC[C@H](Nc2nc(Nc3ccc(OC)cc3)ncc2F)C1,CHEMBL5790361,,IC50,nM,1000.0,IC50,nM,1000.0
C=CC(=O)N1CCC[C@H](Nc2nc(Nc3ccc(OC)cc3)ncc2F)C1,CHEMBL5790361,,kon,,,kon,M-1-s-1,
